Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Calabresa";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860396243blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Bacon";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748755374354blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Cheddar";"";"6,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748753384763blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Catupiry";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748754967525blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Bacon em Fatias";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737861335784blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Hambúrguer 160g";"";"10,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860946911blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Ovo Frito";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737861445046blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Cheddar";"";"6,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748753363013blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Catupiry";"";"5,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748754946275blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Mussarela";"";"4,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737860787695blob"
"ADICIONAL / SABOR";"[GRUPO] Adicionais";"Abacaxi";"";"7,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737861037030blob"
