Grupo de Opções;Sabor / Adicional;Descrição;Preço (R$);Disponível
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"15. Canadense";"Molho de tomate caseiro, mussarela, lombo canadense, catupiry e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"25. Lombinho";"Molho de tomate caseiro, mussarela, lombo canadense, cebola e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"31. Portuguesa";"Molho de tomate caseiro, mussarela, presunto, queijo, ovo, tomate, cebola, pimentão, azeitonas verde e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"54. Strogonoff de carne";"Molho de tomate caseiro, mussarela, strogonoff de carne e batata palha.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"16. Carbonara";"Molho de tomate caseiro, mussarela, Bacon, ovos e creme de leite";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"55. Strogonoff de frango";"Molho de tomate caseiro, mussarela, strogonoff de frango e batata palha.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"CHOCOLATE BRANCO COM NOZES";"Mussarela, chocolate branco, nozes e leite condensado. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"SPECIALE";" Molho de tomate caseiro, mussarela, anéis de cebola na manteiga, salsinha e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"PRIMAVERA";"Palmito, ervilha e ovos de codorna.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"45. Filé aos 4 queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry e filé.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"53. Siciliana";"Molho de tomate caseiro, mussarela, bacon, champignon, catupiry e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"ITALIAN ";"Molho de tomate caseiro, mussarela, salame, tomate, azeitonas pretas e orégano.   ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"37. Camarão alho e óleo";"Molho de tomate caseiro, mussarela, camarão ao alho e óleo e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"NORDESTINA ";" Molho de tomate caseiro, carne seca, cebola roxa, catupiry, mussarela, pimenta biquinho e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"50. Palmito";"Molho de tomate caseiro, mussarela, Palmito e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"13. Calabresa especial";"Molho de tomate caseiro, mussarela, calabresa, cebola, catupiry e ovos.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"28. Milho e bacon";"Molho de tomate caseiro, mussarela, milho e bacon.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"GAÚCHA";"Molho de tomate caseiro, mussarela, filé, cebola, pimentão, tomate, barbecue e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"23. Italiana";"Molho de tomate caseiro, mussarela, presunto, bacon, milho, palmito e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"LA CANTINA";"Molho de tomate caseiro, mussarela, tomate seco, manjericão, champignon, azeitonas pretas e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"10. Bauru";"Molho de tomate caseiro, mussarela, presunto, tomate e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"20. Frango caipira";"Molho de tomate caseiro, mussarela, frango, milho, bacon, catupiry e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"39. Coração";"Molho de tomate caseiro, mussarela, coração, cebola e catupiry.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"60. 5 Queijos com bacon";"Molho de tomate caseiro, mussarela, parmesão, provolone, catupiry, cheddar, bacon e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"43. Filé com catupiry";"Molho de tomate caseiro, mussarela, tiras de carne e catupiry.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"FUGAZZETA";"Molho de tomate caseiro, mussarela, cebola, azeitonas verdes e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"59. 4 Queijos com bacon";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, bacon e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"33. Veneza";"Molho de tomate caseiro, mussarela, lombo, bacon, ovos e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"44. Filé com cheddar";"Molho de tomate caseiro, mussarela, Filé e cheddar.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"7. Bacon";"Molho de tomate caseiro, mussarela, bacon e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"6. Brócolis com bacon e catupiry";"Molho de tomate caseiro, mussarela, brócolis, bacon e catupiry";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"29. Mussarela";"Molho de tomate caseiro, mussarela, tomate, azeitonas verde e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"BARBECUE";"Molho de tomate caseiro, mussarela, lombo ao molho Barbecue e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"TOSCANA";"Molho de tomate caseiro, mussarela, salame, provolone, manjericão e oregano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"49. Moda da casa";"Molho de tomate caseiro, mussarela, frango, palmito, bacon, milho, azeitona, catupiry e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"47. Filé com tomate";"Molho de tomate caseiro, mussarela, filé e tomate.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"1. Alho e óleo";"Molho de tomate caseiro, mussarela, alho frito e azeitonas pretas e orégano. ";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"32. Vegetariana";"Molho de tomate caseiro, mussarela, palmito, milho, brócolis, tomate e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"48. Mexicana";"Molho de tomate caseiro, mussarela, iscas de carne, cheddar, cebola e nachos.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"17. Crocante";"Molho de tomate caseiro, mussarela, bacon, batata palha e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"18. Difiori";"Molho de tomate caseiro, mussarela, frango, bacon, tomate e creme de leite";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"19. Frango catupiry";"Molho de tomate caseiro, mussarela, frango com catupiry e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"14. Catulabresa";"Molho de tomate caseiro, mussarela, calabresa e catupiry.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Gigante";"21. Fricasse";"Molho de tomate caseiro, mussarela, frango, milho, creme de leite e batata palha.";"0,00";"Sim"
